id,preferred_name,aliases,usage_versions,editorial_status,dataset_version
chs:title:shangshu-zuo-cheng,尚书左丞,尚书左丞|尚書左丞|左丞|shangshu zuo cheng,1,reviewed,0.1.0-research.1
chs:title:shangshu-you-cheng,尚书右丞,尚书右丞|尚書右丞|右丞|shangshu you cheng,1,reviewed,0.1.0-research.1
chs:title:zuosi-langzhong,左司郎中,左司郎中|zuosi langzhong,1,reviewed,0.1.0-research.1
chs:title:yousi-langzhong,右司郎中,右司郎中|yousi langzhong,1,reviewed,0.1.0-research.1
chs:title:zuosi-yuanwailang,左司员外郎,左司员外郎|左司員外郎|zuosi yuanwailang,1,reviewed,0.1.0-research.1
chs:title:yousi-yuanwailang,右司员外郎,右司员外郎|右司員外郎|yousi yuanwailang,1,reviewed,0.1.0-research.1
chs:title:shumishi,枢密使,枢密使|樞密使|shumishi,1,reviewed,0.1.0-research.1
chs:title:zhi-shumiyuan-shi,知枢密院事,知枢密院事|知樞密院事|知院事|zhi shumiyuan shi,1,reviewed,0.1.0-research.1
chs:title:tongzhi-shumiyuan-shi,同知枢密院事,同知枢密院事|同知樞密院事|同知院事|tongzhi shumiyuan shi,1,reviewed,0.1.0-research.1
chs:title:shumi-fushi,枢密副使,枢密副使|樞密副使|shumi fushi,1,reviewed,0.1.0-research.1
chs:title:qianshu-shumiyuan-shi,签书枢密院事,签书枢密院事|簽書樞密院事|签书院事|qianshu shumiyuan shi,1,reviewed,0.1.0-research.1
chs:title:sansi-shi,三司使,三司使|三司使|计相|sansi shi,1,reviewed,0.1.0-research.1
chs:title:hanlin-xueshi-chengzhi,翰林学士承旨,翰林学士承旨|翰林學士承旨|承旨|hanlin xueshi chengzhi,1,reviewed,0.1.0-research.1
chs:title:zhizhigao,知制诰,知制诰|知制誥|zhizhigao,1,reviewed,0.1.0-research.1
chs:title:hanlin-shidu-xueshi,翰林侍读学士,翰林侍读学士|翰林侍讀學士|hanlin shidu xueshi,1,reviewed,0.1.0-research.1
chs:title:longtu-zhixueshi,龙图阁直学士,龙图阁直学士|龍圖閣直學士|longtu ge zhixueshi,1,reviewed,0.1.0-research.1
chs:title:longtu-daizhi,龙图阁待制,龙图阁待制|龍圖閣待制|longtu ge daizhi,1,reviewed,0.1.0-research.1
chs:title:yushi-zhongcheng,御史中丞,御史中丞|御史中丞|中丞|yushi zhongcheng,1,reviewed,0.1.0-research.1
chs:title:shiyushi,侍御史,侍御史|侍御史|shiyushi,1,reviewed,0.1.0-research.1
chs:title:dianzhong-shiyushi,殿中侍御史,殿中侍御史|殿中侍御史|dianzhong shiyushi,1,reviewed,0.1.0-research.1
chs:title:jiancha-yushi,监察御史,监察御史|監察御史|jiancha yushi,1,reviewed,0.1.0-research.1
