evidence_id,assertion_id,subject_id,predicate,object_entity_id,object_literal,assertion_status,assertion_method,confidence,passage_id,passage_text,source_id,source_title,edition_id,locator_id,locator_label,stable_url,relation,basis,directness,dataset_version,data_license,citation
chs:evidence:usage-qianshu,chs:assertion:usage-qianshu-panguan,chs:title-usage:qianshu-fengxiang-panguan,appears_as_fengxiang_assignment,,签书凤翔府判官在该任命中是与大理评事并列的凤翔府成分。,reviewed,manual_curation,high,chs:passage:song-shi-338-fengxiang,除大理评事、签书凤翔府判官。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-fengxiang,《宋史》卷338苏轼传“除大理评事”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-tongpan,chs:assertion:usage-tongpan,chs:title-usage:tongpan-northern-song,serves_as_prefectural_second_official,,通判是州级实际工作层成分，《宋史·职官志》以“贰之”说明其与知州的副贰／牵制关系。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-161-local,外官，则惩五代藩镇专恣，颇用文臣知州，復设通判以贰之。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-zhizhou-system,chs:assertion:usage-zhizhou,chs:title-usage:zhizhou-northern-song,serves_as_prefectural_assignment,,知州是地方实际工作层成分；苏轼传以“徙知某州”记录多次地方任命。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-161-local,外官，则惩五代藩镇专恣，颇用文臣知州，復设通判以贰之。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-zhizhou-case,chs:assertion:usage-zhizhou,chs:title-usage:zhizhou-northern-song,serves_as_prefectural_assignment,,知州是地方实际工作层成分；苏轼传以“徙知某州”记录多次地方任命。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-338-mizhou,时新政日下，轼于其间，每因法以便民，民赖以安。徙知密州。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-hangzhou-mizhou,《宋史》卷338苏轼传“通判杭州”“徙知密州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-tuanlian-thank,chs:assertion:usage-tuanlian-fushi-huangzhou,chs:title-usage:tuanlian-fushi-northern-song,requires_context_before_assigning_function,,苏轼黄州个案同时出现责授、本州安置和不得签书公事；该个案不能解释成实际主持黄州军务。,reviewed,scholarly_interpretation,high,chs:passage:dao-huangzhou-xiebiao-opening,去歲十二月二十九日，準敕，責授臣檢校尚書水部員外郎充黃州團練副使，本州安置，不得僉書公事，臣已於今月一日到本所訖者。,chs:source:dao-huangzhou-xiebiao,《到黄州谢表》,chs:edition:dao-huangzhou-xiebiao-wikisource,chs:locator:dao-huangzhou-xiebiao-opening,苏轼《到黄州谢表》开篇,https://zh.wikisource.org/w/index.php?title=到黃州謝表&oldid=471355,supports,contextual_inference,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-tuanlian-song-shi,chs:assertion:usage-tuanlian-fushi-huangzhou,chs:title-usage:tuanlian-fushi-northern-song,requires_context_before_assigning_function,,苏轼黄州个案同时出现责授、本州安置和不得签书公事；该个案不能解释成实际主持黄州军务。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-338-huzhou-huangzhou,徙知湖州，上表以谢。御史李定、舒亶、何正臣摭其表语，并媒蘖所为诗以为讪谤，逮赴台狱，欲置之死，锻炼久之不决。神宗独怜之，以黄州团练副使安置。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-huzhou-huangzhou,《宋史》卷338苏轼传“徙知湖州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-anzhi-huangzhou,chs:assertion:usage-anzhi,chs:title-usage:anzhi-northern-song,marks_punitive_placement,,在苏轼黄州和惠州材料中，安置与处分性官衔和任事限制组合出现，不是普通地方差遣。,reviewed,scholarly_interpretation,high,chs:passage:dao-huangzhou-xiebiao-opening,去歲十二月二十九日，準敕，責授臣檢校尚書水部員外郎充黃州團練副使，本州安置，不得僉書公事，臣已於今月一日到本所訖者。,chs:source:dao-huangzhou-xiebiao,《到黄州谢表》,chs:edition:dao-huangzhou-xiebiao-wikisource,chs:locator:dao-huangzhou-xiebiao-opening,苏轼《到黄州谢表》开篇,https://zh.wikisource.org/w/index.php?title=到黃州謝表&oldid=471355,supports,contextual_inference,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-anzhi-huizhou,chs:assertion:usage-anzhi,chs:title-usage:anzhi-northern-song,marks_punitive_placement,,在苏轼黄州和惠州材料中，安置与处分性官衔和任事限制组合出现，不是普通地方差遣。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-338-late,绍圣初，御史论轼掌内外制日，所作词命，以为讥斥先朝。遂以本官知英州，寻降一官，未至，贬宁远军节度副使，惠州安置。居三年，又贬琼州别驾，居昌化。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-late,《宋史》卷338苏轼传绍圣以后诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-chaofeng,chs:assertion:usage-chaofeng-lang,chs:title-usage:chaofeng-lang-yuanyou,appears_in_restoration_bundle,,苏轼传在哲宗即位后的任命中写“复朝奉郎、知登州”，朝奉郎与知登州为不同官衔成分。,reviewed,manual_curation,high,chs:passage:song-shi-338-yuanyou,神宗崩，哲宗立，复朝奉郎、知登州，召为礼部郎中。迁起居舍人。元祐元年，轼以七品服入侍延和，即赐银绯，迁中书舍人。寻除翰林学士。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-yuanyou,《宋史》卷338苏轼传元祐任官诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-zhongshu-sheren,chs:assertion:usage-zhongshu-sheren,chs:title-usage:zhongshu-sheren-yuanyou,appears_as_yuanyou_central_office,,《宋史》卷338记元祐元年苏轼迁中书舍人；本批只确认任命与中央官名性质，详细职掌待卷161相应条目。,reviewed,manual_curation,high,chs:passage:song-shi-338-yuanyou,神宗崩，哲宗立，复朝奉郎、知登州，召为礼部郎中。迁起居舍人。元祐元年，轼以七品服入侍延和，即赐银绯，迁中书舍人。寻除翰林学士。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-yuanyou,《宋史》卷338苏轼传元祐任官诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-hanlin-xueshi,chs:assertion:usage-hanlin-xueshi,chs:title-usage:hanlin-xueshi-yuanyou,appears_as_yuanyou_central_title,,《宋史》卷338在中书舍人之后记“寻除翰林学士”；详细职掌与是否实际入院仍需更多材料。,reviewed,manual_curation,high,chs:passage:song-shi-338-yuanyou,神宗崩，哲宗立，复朝奉郎、知登州，召为礼部郎中。迁起居舍人。元祐元年，轼以七品服入侍延和，即赐银绯，迁中书舍人。寻除翰林学士。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-yuanyou,《宋史》卷338苏轼传元祐任官诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-longtu-xueshi,chs:assertion:usage-longtu-xueshi,chs:title-usage:longtu-xueshi-yuanyou,appears_with_zhihangzhou,,元祐四年苏轼任命中，龙图阁学士与知杭州并列；随后“既至杭”支持实际到达杭州，但不等于实际管理龙图阁。,reviewed,scholarly_interpretation,medium,chs:passage:song-shi-338-hangzhou-second,四年，积以论事，为当轴者所恨。轼恐不见容，请外，拜龙图阁学士、知杭州。既至杭，大旱，饥疫并作。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-yuanyou,《宋史》卷338苏轼传元祐任官诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,contextual_inference,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-ningyuan-fushi,chs:assertion:usage-ningyuan-fushi,chs:title-usage:ningyuan-jiedu-fushi-shaosheng,appears_in_punitive_bundle,,苏轼传将宁远军节度副使与惠州安置连记为贬谪变化；不能据字面生成宁远军实际任事。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-338-late,绍圣初，御史论轼掌内外制日，所作词命，以为讥斥先朝。遂以本官知英州，寻降一官，未至，贬宁远军节度副使，惠州安置。居三年，又贬琼州别驾，居昌化。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-late,《宋史》卷338苏轼传绍圣以后诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,contextual_inference,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-qiongzhou-biejia,chs:assertion:usage-qiongzhou-biejia,chs:title-usage:qiongzhou-biejia-shaosheng,appears_before_changhua_residence,,苏轼传记“又贬琼州别驾，居昌化”，将贬授成分与实际居住地点分开。,reviewed,manual_curation,high,chs:passage:song-shi-338-late,绍圣初，御史论轼掌内外制日，所作词命，以为讥斥先朝。遂以本官知英州，寻降一官，未至，贬宁远军节度副使，惠州安置。居三年，又贬琼州别驾，居昌化。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-late,《宋史》卷338苏轼传绍圣以后诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-fengxiang,chs:assertion:appointment-fengxiang,chs:appointment:su-shi-fengxiang,appoints_components,,除大理评事、签书凤翔府判官,reviewed,source_transcription,high,chs:passage:song-shi-338-fengxiang,除大理评事、签书凤翔府判官。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-fengxiang,《宋史》卷338苏轼传“除大理评事”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-hangzhou-tongpan,chs:assertion:appointment-hangzhou-tongpan,chs:appointment:su-shi-hangzhou-tongpan,holds_appointment_text,,通判杭州,reviewed,source_transcription,high,chs:passage:song-shi-338-hangzhou,轼遂请外，通判杭州。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-hangzhou-mizhou,《宋史》卷338苏轼传“通判杭州”“徙知密州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:service-hangzhou-tongpan,chs:assertion:service-hangzhou-tongpan,chs:service:su-shi-hangzhou-tongpan,actually_serves_in_hangzhou,chs:place-version:hangzhou-northern-song,,reviewed,contextual_inference,medium,chs:passage:song-shi-338-mizhou,时新政日下，轼于其间，每因法以便民，民赖以安。徙知密州。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-hangzhou-mizhou,《宋史》卷338苏轼传“通判杭州”“徙知密州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,chronological_inference,indirect,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-mizhou,chs:assertion:appointment-mizhou,chs:appointment:su-shi-mizhou,transfers_to_zhimizhou,,徙知密州,reviewed,source_transcription,high,chs:passage:song-shi-338-mizhou,时新政日下，轼于其间，每因法以便民，民赖以安。徙知密州。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-hangzhou-mizhou,《宋史》卷338苏轼传“通判杭州”“徙知密州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-xuzhou,chs:assertion:appointment-xuzhou,chs:appointment:su-shi-xuzhou,transfers_to_zhixuzhou,,徙知徐州,reviewed,source_transcription,high,chs:passage:song-shi-338-xuzhou,徙知徐州。河决曹村，泛于梁山泊，溢于南清河，汇于城下。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-xuzhou,《宋史》卷338苏轼传“徙知徐州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-huzhou,chs:assertion:appointment-huzhou,chs:appointment:su-shi-huzhou,transfers_to_zhihuzhou,,徙知湖州,reviewed,source_transcription,high,chs:passage:song-shi-338-huzhou-huangzhou,徙知湖州，上表以谢。御史李定、舒亶、何正臣摭其表语，并媒蘖所为诗以为讪谤，逮赴台狱，欲置之死，锻炼久之不决。神宗独怜之，以黄州团练副使安置。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-huzhou-huangzhou,《宋史》卷338苏轼传“徙知湖州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-huangzhou-thank,chs:assertion:appointment-huangzhou,chs:appointment:su-shi-huangzhou,punitive_appointment_bundle,,责授检校尚书水部员外郎充黄州团练副使，本州安置，不得签书公事,reviewed,source_transcription,high,chs:passage:dao-huangzhou-xiebiao-opening,去歲十二月二十九日，準敕，責授臣檢校尚書水部員外郎充黃州團練副使，本州安置，不得僉書公事，臣已於今月一日到本所訖者。,chs:source:dao-huangzhou-xiebiao,《到黄州谢表》,chs:edition:dao-huangzhou-xiebiao-wikisource,chs:locator:dao-huangzhou-xiebiao-opening,苏轼《到黄州谢表》开篇,https://zh.wikisource.org/w/index.php?title=到黃州謝表&oldid=471355,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:appointment-huangzhou-song-shi,chs:assertion:appointment-huangzhou,chs:appointment:su-shi-huangzhou,punitive_appointment_bundle,,责授检校尚书水部员外郎充黄州团练副使，本州安置，不得签书公事,reviewed,source_transcription,high,chs:passage:song-shi-338-huzhou-huangzhou,徙知湖州，上表以谢。御史李定、舒亶、何正臣摭其表语，并媒蘖所为诗以为讪谤，逮赴台狱，欲置之死，锻炼久之不决。神宗独怜之，以黄州团练副使安置。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-huzhou-huangzhou,《宋史》卷338苏轼传“徙知湖州”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:service-huangzhou-arrival,chs:assertion:service-huangzhou-arrival,chs:service:su-shi-huangzhou-residence,arrives_at_place_of_restriction,chs:place-version:huangzhou-northern-song,,reviewed,source_transcription,high,chs:passage:dao-huangzhou-xiebiao-opening,去歲十二月二十九日，準敕，責授臣檢校尚書水部員外郎充黃州團練副使，本州安置，不得僉書公事，臣已於今月一日到本所訖者。,chs:source:dao-huangzhou-xiebiao,《到黄州谢表》,chs:edition:dao-huangzhou-xiebiao-wikisource,chs:locator:dao-huangzhou-xiebiao-opening,苏轼《到黄州谢表》开篇,https://zh.wikisource.org/w/index.php?title=到黃州謝表&oldid=471355,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
